a,C_right,C_left,C_vertical_radial,field_right,field_left,field_vertical_radial,road_gain_right,road_gain_left
1.8433333333333333,4.606177114956196,1.6858863730203488,1.9364916731037063,2.5,1.5,1.9364916731037085,2.1061771149561963,0.18588637302034883
1.94,4.657220680929711,1.718157959440088,1.9364916731037063,2.5,1.5,1.9364916731037085,2.1572206809297114,0.21815795944008798
2.0366666666666666,4.707368132531698,1.7512578710580193,1.9364916731037063,2.5,1.5,1.9364916731037085,2.2073681325316983,0.25125787105801933
2.1333333333333333,4.756665970076952,1.7850059478130724,1.9364916731037063,2.5,1.5,1.9364916731037085,2.256665970076952,0.2850059478130724
2.23,4.805156765638813,1.8192560579739911,1.9364916731037063,2.5,1.5,1.9364916731037085,2.305156765638813,0.31925605797399115
2.3266666666666667,4.852879615289808,1.853888946687622,1.9364916731037063,2.5,1.5,1.9364916731037085,2.352879615289808,0.35388894668762205
2.4233333333333333,4.8998705262784625,1.8888067711635266,1.9364916731037063,2.5,1.5,1.9364916731037085,2.3998705262784625,0.3888067711635266
2.52,4.9461627502559935,1.9239288818666118,1.9364916731037063,2.5,1.5,1.9364916731037085,2.4461627502559935,0.4239288818666118
2.6166666666666667,4.991787071487508,1.9591885347978568,1.9364916731037063,2.5,1.5,1.9364916731037085,2.491787071487508,0.4591885347978568
2.7133333333333334,5.03677205728242,1.9945303069712033,1.9364916731037063,2.5,1.5,1.9364916731037085,2.5367720572824197,0.49453030697120326
2.81,5.081144276540968,2.029908048245751,1.9364916731037063,2.5,1.5,1.9364916731037085,2.581144276540968,0.5299080482457512
2.9066666666666667,5.124928491254636,2.0652832460346318,1.9364916731037063,2.5,1.5,1.9364916731037085,2.624928491254636,0.5652832460346318
3.0033333333333334,5.1681478249521575,2.100623710573238,1.9364916731037063,2.5,1.5,1.9364916731037085,2.6681478249521575,0.6006237105732382
3.1,5.210823911404063,2.1359025110678616,1.9364916731037063,2.5,1.5,1.9364916731037085,2.710823911404063,0.6359025110678616
3.1966666666666668,5.252977026348688,2.1710971096643235,1.9364916731037063,2.5,1.5,1.9364916731037085,2.752977026348688,0.6710971096643235
3.2933333333333334,5.294626204556934,2.2061886524921803,1.9364916731037063,2.5,1.5,1.9364916731037085,2.794626204556934,0.7061886524921803
3.39,5.335789344186949,2.2411613862519815,1.9364916731037063,2.5,1.5,1.9364916731037085,2.8357893441869493,0.7411613862519815
3.486666666666667,5.376483300079954,2.2760021757624216,1.9364916731037063,2.5,1.5,1.9364916731037085,2.876483300079954,0.7760021757624216
3.5833333333333335,5.416723967400671,2.310700103168436,1.9364916731037063,2.5,1.5,1.9364916731037085,2.916723967400671,0.8107001031684362
3.68,5.45652635681877,2.3452461335605435,1.9364916731037063,2.5,1.5,1.9364916731037085,2.9565263568187703,0.8452461335605435
3.776666666666667,5.495904662257388,2.3796328348811002,1.9364916731037063,2.5,1.5,1.9364916731037085,2.995904662257388,0.8796328348811002
3.8733333333333335,5.534872322088958,2.4138541424217337,1.9364916731037063,2.5,1.5,1.9364916731037085,3.034872322088958,0.9138541424217337
3.97,5.573442074539557,2.4479051601151625,1.9364916731037063,2.5,1.5,1.9364916731037085,3.0734420745395568,0.9479051601151625
4.066666666666666,5.611626007958662,2.481781992319462,1.9364916731037063,2.5,1.5,1.9364916731037085,3.1116260079586624,0.981781992319462
4.163333333333333,5.6494356065263815,2.515481600975015,1.9364916731037063,2.5,1.5,1.9364916731037085,3.1494356065263815,1.015481600975015
4.26,5.686881791895033,2.549001683956284,1.9364916731037063,2.5,1.5,1.9364916731037085,3.1868817918950327,1.0490016839562841
4.3566666666666665,5.723974961199659,2.582340571192823,1.9364916731037063,2.5,1.5,1.9364916731037085,3.2239749611996587,1.0823405711928231
4.453333333333333,5.760725021818317,2.61549713573978,1.9364916731037063,2.5,1.5,1.9364916731037085,3.260725021818317,1.1154971357397798
4.55,5.797141423215905,2.6484707174666013,1.9364916731037063,2.5,1.5,1.9364916731037085,3.297141423215905,1.1484707174666013
4.6466666666666665,5.833233186166225,2.681261057430028,1.9364916731037063,2.5,1.5,1.9364916731037085,3.3332331861662254,1.181261057430028
4.743333333333333,5.869008929611724,2.713868241320064,1.9364916731037063,2.5,1.5,1.9364916731037085,3.3690089296117236,1.213868241320064
4.84,5.904476895390829,2.746292650632931,1.9364916731037063,2.5,1.5,1.9364916731037085,3.404476895390829,1.246292650632931
