a,theta_rad,speed
2.0,2.3300145514124297,1.6226623104604236
2.0,2.3431045208023873,1.6187754441152187
2.0,2.356194490192345,1.6149485779096757
2.0,2.3692844595823024,1.611181940351674
2.0,2.3823744289722595,1.6074761281049526
2.0,2.395464398362217,1.6039223420594446
2.0,2.4085543677521746,1.6005890270802077
2.0,2.421644337142132,1.5974738734077398
2.0,2.4347343065320897,1.594574699896743
2.0,2.447824275922047,1.591889450718444
2.0,2.4609142453120043,1.5894161922221848
2.0,2.474004214701962,1.5871531099485772
2.0,2.4870941840919194,1.5850985057870552
2.0,2.500184153481877,1.5832507952707324
2.0,2.5132741228718345,1.5816085050019915
2.0,2.526364092261792,1.5801702702024336
2.0,2.539454061651749,1.5789348323810124
2.0,2.5525440310417067,1.5779010371146036
2.0,2.5656340004316642,1.577067831935235
2.0,2.5787239698216218,1.57643426431871
2.0,2.5918139392115793,1.5759994797693402
2.0,2.604903908601537,1.5757627199956907
2.0,2.617993877991494,1.5757233211726565
2.0,2.6310838473814515,1.5758807122849667
2.0,2.644173816771409,1.5762344135477129
2.0,2.6572637861613666,1.5767840348994646
2.0,2.670353755551324,1.5775292745636413
2.0,2.6834437249412817,1.578469917674088
2.0,2.696533694331239,1.5796058349607058
2.0,2.7096236637211963,1.5809369814913516
2.0,2.722713633111154,1.582463395466025
2.0,2.7358036025011114,1.5841851970598277
2.0,2.748893571891069,1.5861025873109291
2.0,2.7619835412810265,1.5882158470500976
2.0,2.7750735106709836,1.5905253358684597
2.0,2.788163480060941,1.5930314911200547
2.0,2.8012534494508987,1.59573482695615
2.0,2.8143434188408563,1.598635933388156
2.0,2.827433388230814,1.6017354753762625
2.0,2.8405233576207713,1.605034191940934
2.0,2.8536133270107285,1.6085328952947542
2.0,2.866703296400686,1.6122324699918913
2.0,2.8797932657906435,1.616133872093176
2.0,2.892883235180601,1.620238128344429
2.0,2.9059732045705586,1.6245463353663574
2.0,2.919063173960516,1.6290596588542918
2.0,2.9321531433504733,1.6337793327864212
2.0,2.945243112740431,1.6387066586396166
2.0,2.9583330821303884,1.6438430046119983
2.0,2.971423051520346,1.6491898048521314
2.0,2.9845130209103035,1.6547485586948305
2.0,2.997602990300261,1.6605208299043817
2.0,3.010692959690218,1.6665082459262273
2.0,3.0237829290801757,1.6727124971488259
2.0,3.036872898470133,1.6791353361782377
2.0,3.0499628678600907,1.6857785771283424
2.0,3.0630528372500483,1.6926440949306887
2.0,3.076142806640006,1.699733824668538
2.0,3.089232776029963,1.70704976094083
2.0,3.1023227454199205,1.7145939572624478
2.0,3.115412714809878,1.7223685255085748
2.0,3.1285026841998356,1.7303756354116366
2.0,3.141592653589793,1.7386175141208646
5.0,0.0,5.962527158520643
5.0,0.01308996938995747,5.78267087301883
5.0,0.02617993877991494,5.613486394338665
5.0,0.039269908169872414,5.454133672887238
5.0,0.05235987755982988,5.303853246559598
5.0,0.06544984694978735,5.16195749493896
5.0,0.07853981633974483,5.027822912132208
5.0,0.09162978572970229,4.900883277805704
5.0,0.10471975511965977,4.780623619258179
5.0,0.11780972450961724,4.66657486956619
5.0,0.1308996938995747,4.5583091379237
5.0,0.14398966328953217,4.4554355182865635
5.0,0.15707963267948966,4.357596371364949
5.0,0.17016960206944712,4.2644640229489
5.0,0.18325957145940458,4.175737828578477
5.0,0.19634954084936207,4.091141560764427
5.0,0.20943951023931953,4.010421080407227
5.0,0.222529479629277,3.933342258834905
5.0,0.23561944901923448,3.859689121054565
5.0,0.24870941840919195,3.7892621844626504
5.0,0.2617993877991494,3.7218769704447325
5.0,0.2748893571891069,3.6573626690759156
5.0,0.28797932657906433,3.5955609395586023
5.0,0.3010692959690218,3.5363248311497912
5.0,0.3141592653589793,3.4795178111760876
5.0,0.32724923474893675,3.4250128883452007
5.0,0.34033920413889424,3.372691820969571
5.0,0.3534291735288517,3.322444400946047
5.0,0.36651914291880916,3.274167805410606
5.0,0.37960911230876665,3.227766008926416
5.0,0.39269908169872414,3.1831492498873715
5.0,0.4057890510886816,3.140233545540589
5.0,0.41887902047863906,3.098940250664775
5.0,0.43196898986859655,3.059195655497497
5.0,0.445058959258554,3.0209306189936527
5.0,0.4581489286485115,2.9840802339277914
5.0,0.47123889803846897,2.94858352073269
5.0,0.4843288674284264,2.9143831473012867
5.0,0.4974188368183839,2.8814251722745254
5.0,0.5105088062083414,2.849658809599852
5.0,0.5235987755982988,2.8190362123760977
5.0,0.5366887449882562,2.789512274206082
5.0,0.5497787143782138,2.7610444464602963
5.0,0.5628686837681712,2.733592570017045
5.0,0.5759586531581287,2.70711872018844
5.0,0.5890486225480862,2.6815870636696317
5.0,0.6021385919380436,2.656963726463367
5.0,0.6152285613280011,2.633216671833857
5.0,0.6283185307179586,2.61031558743516
5.0,0.6414085001079161,2.5882317808409923
5.0,0.6544984694978735,2.566938082775998
5.0,0.667588438887831,2.5464087574138787
5.0,0.6806784082777885,2.5266194191670266
5.0,0.6937683776677459,2.507546955444731
5.0,0.7068583470577035,2.4891694549050456
5.0,0.7199483164476609,2.471466140767994
5.0,0.7330382858376183,2.454417308796444
5.0,0.7461282552275759,2.4380042695861803
5.0,0.7592182246175333,2.42220929483765
5.0,0.7723081940074907,2.407015567311028
5.0,0.7853981633974483,2.3924071341914512
5.0,0.7984881327874057,2.378368863615144
5.0,0.8115781021773631,2.364886404128079
5.0,0.8246680715673207,2.3519461468683076
5.0,0.8377580409572781,2.3395351902803796
5.0,0.8508480103472356,2.3276413071866173
5.0,0.8639379797371931,2.316252914054111
5.0,0.8770279491271505,2.305359042309881
5.0,0.890117918517108,2.294949311568793
5.0,0.9032078879070655,2.2850139046494675
5.0,0.916297857297023,2.275543544264302
5.0,0.9293878266869804,2.26652947127824
5.0,0.9424777960769379,2.2579634244399855
5.0,0.9555677654668954,2.2498376214970577
5.0,0.9686577348568528,2.2421447416131244
5.0,0.9817477042468103,2.234877909013072
5.0,0.9948376736367678,2.2280306777868546
5.0,1.0079276430267252,2.22159269705309
5.0,1.0210176124166828,2.2152838745626653
5.0,1.03410758180664,2.2089399554493596
5.0,1.0471975511965976,2.2025624189766617
5.0,1.0602875205865552,2.196152745360642
5.0,1.0733774899765125,2.1897124152207326
5.0,1.08646745936647,2.183242909032934
5.0,1.0995574287564276,2.176745706585571
5.0,1.112647398146385,2.1702222864381397
5.0,1.1257373675363425,2.163674125383629
5.0,1.1388273369263,2.1571026979145316
5.0,1.1519173063162573,2.150509475693177
5.0,1.1650072757062149,2.1438959270265414
5.0,1.1780972450961724,2.1372635163460743
5.0,1.1911872144861297,2.130613703692852
5.0,1.2042771838760873,2.1239479442083606
5.0,1.2173671532660448,2.117267687631461
5.0,1.2304571226560022,2.110574377801761
5.0,1.2435470920459597,2.103869452169768
5.0,1.2566370614359172,2.0971543413142726
5.0,1.2697270308258746,2.090430468467254
5.0,1.2828170002158321,2.0836992490465818
5.0,1.2959069696057897,2.0769620901970782
5.0,1.308996938995747,2.070220390340019
5.0,1.3220869083857045,2.0634755387315735
5.0,1.335176877775662,2.056728915030426
5.0,1.3482668471656194,2.0499818888749317
5.0,1.361356816555577,2.0432358194700484
5.0,1.3744467859455345,2.0364920551844037
