b,C_right,C_left,C_vertical_radial,field_right,field_left,field_vertical_radial,road_gain_right,road_gain_left
0.9000000000000004,4.554666093112488,1.7915719910340933,1.9364916731037063,2.5,1.5,1.9364916731037085,2.0546660931124876,0.29157199103409326
1.0,4.688449124827159,1.7386175141208646,1.9364916731037063,2.5,1.5,1.9364916731037085,2.1884491248271587,0.23861751412086463
1.1000000000000005,4.825037377917724,1.6911274252428292,1.9364916731037063,2.5,1.5,1.9364916731037085,2.325037377917724,0.19112742524282922
1.2000000000000002,4.964303279953569,1.6491163886045932,1.9364916731037063,2.5,1.5,1.9364916731037085,2.464303279953569,0.1491163886045932
1.2999999999999998,5.106123917718051,1.6125654538787977,1.9364916731037063,2.5,1.5,1.9364916731037085,2.606123917718051,0.11256545387879768
1.4000000000000004,5.250381075533497,1.5814187329276699,1.9364916731037063,2.5,1.5,1.9364916731037085,2.7503810755334968,0.08141873292766988
1.5,5.396961236752318,1.5555810683325113,1.9364916731037063,2.5,1.5,1.9364916731037085,2.8969612367523183,0.05558106833251131
1.6000000000000005,5.545755554156798,1.5349171531955967,1.9364916731037063,2.5,1.5,1.9364916731037085,3.0457555541567984,0.03491715319559674
1.7000000000000002,5.696659794290994,1.5192525035265412,1.9364916731037063,2.5,1.5,1.9364916731037085,3.1966597942909942,0.019252503526541176
1.8000000000000007,5.849574260127369,1.50837651886253,1.9364916731037063,2.5,1.5,1.9364916731037085,3.349574260127369,0.008376518862529991
1.9000000000000004,6.00440369592819,1.5020476024207987,1.9364916731037063,2.5,1.5,1.9364916731037085,3.5044036959281897,0.002047602420798711
2.0,6.161057177687738,1.5000000000000036,1.9364916731037063,2.5,1.5,1.9364916731037085,3.661057177687738,3.552713678800501e-15
2.1000000000000005,6.319447992120857,1.5000000000000036,1.9364916731037063,2.5,1.5,1.9364916731037085,3.819447992120857,3.552713678800501e-15
2.2,6.479493506792366,1.5000000000000036,1.9364916731037063,2.5,1.5,1.9364916731037085,3.979493506792366,3.552713678800501e-15
2.3000000000000007,6.641115033649939,1.5000000000000036,1.9364916731037063,2.5,1.5,1.9364916731037085,4.141115033649939,3.552713678800501e-15
2.4000000000000004,6.804237687926744,1.5000000000000036,1.9364916731037063,2.5,1.5,1.9364916731037085,4.304237687926744,3.552713678800501e-15
2.5,6.968790244115766,1.5000000000000036,1.9364916731037063,2.5,1.5,1.9364916731037085,4.468790244115766,3.552713678800501e-15
2.6000000000000005,7.134704990478738,1.5000000000000036,1.9364916731037063,2.5,1.5,1.9364916731037085,4.634704990478738,3.552713678800501e-15
2.7,7.301917583341847,1.5000000000000036,1.9364916731037063,2.5,1.5,1.9364916731037085,4.801917583341847,3.552713678800501e-15
2.8000000000000007,7.4703669022378705,1.5000000000000036,1.9364916731037063,2.5,1.5,1.9364916731037085,4.9703669022378705,3.552713678800501e-15
2.9000000000000004,7.63999490678647,1.5000000000000036,1.9364916731037063,2.5,1.5,1.9364916731037085,5.13999490678647,3.552713678800501e-15
3.0,7.810746496051777,1.5000000000000036,1.9364916731037063,2.5,1.5,1.9364916731037085,5.310746496051777,3.552713678800501e-15
